Team1,Team2,Home,Away,Neutral,Pred
abilene chr,air force,0,0,1,0.5188012929144806
abilene chr,akron,0,0,1,0.7161732267667257
abilene chr,alabama,0,0,1,0.023831444823893988
abilene chr,alabama a&m,0,0,1,0.5755671882995486
abilene chr,alabama st,0,0,1,0.9167571424928411
abilene chr,albany,0,0,1,0.3840430975919302
abilene chr,alcorn,0,0,1,0.8362855329486985
abilene chr,american,0,0,1,0.8278752155815613
abilene chr,appalachian st,0,0,1,0.6347109546865707
abilene chr,arizona,0,0,1,0.3811626628331961
abilene chr,arizona st,0,0,1,0.5947067789311341
abilene chr,ark little rock,0,0,1,0.6724986124432326
abilene chr,ark pine bluff,0,0,1,0.8477421850135626
abilene chr,arkansas,0,0,1,0.6034099438045184
abilene chr,arkansas st,0,0,1,0.3563336786172673
abilene chr,army,0,0,1,0.4684472409183622
abilene chr,auburn,0,0,1,0.40527510150500606
abilene chr,austin peay,0,0,1,0.6606385258658151
abilene chr,ball st,0,0,1,0.19791195447289617
abilene chr,baylor,0,0,1,0.021864924889780507
abilene chr,belmont,0,0,1,0.4376388460926874
abilene chr,bethune-cookman,0,0,1,0.7606801607062617
abilene chr,binghamton,0,0,1,0.5761266746932532
abilene chr,boise st,0,0,1,0.5020679513661883
abilene chr,boston college,0,0,1,0.4309956442108965
abilene chr,boston,0,0,1,0.7342326498557161
abilene chr,bowling green,0,0,1,0.5268124243781831
abilene chr,bradley,0,0,1,0.5982401731247613
abilene chr,brown,0,0,1,0.6421037627790364
abilene chr,bryant,0,0,1,0.63824319732961
abilene chr,bucknell,0,0,1,0.5001196053151381
abilene chr,buffalo,0,0,1,0.31904835151330413
abilene chr,butler,0,0,1,0.5011796664780853
abilene chr,brigham young,0,0,1,0.46190147472293874
abilene chr,c michigan,0,0,1,0.6493702598795824
abilene chr,cal poly,0,0,1,0.6903963500404594
abilene chr,california,0,0,1,0.0876794541333087
abilene chr,campbell,0,0,1,0.5021261851203178
abilene chr,canisius,0,0,1,0.7507536645551125
abilene chr,cent arkansas,0,0,1,0.48967748907109965
abilene chr,central conn,0,0,1,0.7877387683898546
abilene chr,charleston so,0,0,1,0.7591138786807763
abilene chr,charlotte,0,0,1,0.6699857045794957
abilene chr,chattanooga,0,0,1,0.5725213742453581
abilene chr,chicago st,0,0,1,0.8764865598217039
abilene chr,cincinnati,0,0,1,0.46634829944024037
abilene chr,clemson,0,0,1,0.39574314515465847
abilene chr,cleveland st,0,0,1,0.36104594400310736
abilene chr,coastal car,0,0,1,0.4152446037314177
abilene chr,charleston,0,0,1,0.34341872065273676
abilene chr,colgate,0,0,1,0.3727858910494691
abilene chr,colorado,0,0,1,0.39378778671315146
abilene chr,colorado st,0,0,1,0.37835828208259176
abilene chr,columbia,0,0,1,0.1318356903599183
abilene chr,connecticut,0,0,1,0.008599777672559678
abilene chr,coppin st,0,0,1,0.6114381209423122
abilene chr,cornell,0,0,1,0.6639194533560053
abilene chr,creighton,0,0,1,0.10655930047549814
abilene chr,bakersfield,0,0,1,0.8358198474518737
abilene chr,cal st. fullerton,0,0,1,0.7175662938689739
abilene chr,cal st. northridge,0,0,1,0.8420735123248352
abilene chr,cs sacramento,0,0,1,0.5892865750516333
abilene chr,dartmouth,0,0,1,0.7604555401669632
abilene chr,davidson,0,0,1,0.4177830016596761
abilene chr,dayton,0,0,1,0.5138874088477892
abilene chr,delaware,0,0,1,0.5948638128508745
abilene chr,delaware st,0,0,1,0.920108446488841
abilene chr,denver,0,0,1,0.6317432160183982
abilene chr,depaul,0,0,1,0.6240262689309564
abilene chr,detroit,0,0,1,0.6784712888528476
abilene chr,drake,0,0,1,0.41160644457091733
abilene chr,drexel,0,0,1,0.5599419386886624
abilene chr,duke,0,0,1,0.020299590315226868
abilene chr,duquesne,0,0,1,0.43081549315488976
abilene chr,e illinois,0,0,1,0.5452023866703903
abilene chr,e kentucky,0,0,1,0.4864016483044225
abilene chr,e michigan,0,0,1,0.8228000666968293
abilene chr,e washington,0,0,1,0.6581319383573287
abilene chr,east carolina,0,0,1,0.531417909987334
abilene chr,edwardsville,0,0,1,0.7968960111572257
abilene chr,elon,0,0,1,0.6595291252247906
abilene chr,east tenn. st.,0,0,1,0.5416729964200019
abilene chr,evansville,0,0,1,0.7692096541766427
abilene chr,f dickinson,0,0,1,0.38831090581177
abilene chr,fairfield,0,0,1,0.10966504515343531
abilene chr,fl atlantic,0,0,1,0.6499653946162409
abilene chr,fgcu,0,0,1,0.1735465619030698
abilene chr,florida,0,0,1,0.34279949971032475
abilene chr,florida a&m,0,0,1,0.7157020168595056
abilene chr,fiu,0,0,1,0.6355086851510164
abilene chr,florida st,0,0,1,0.03675512092474818
abilene chr,fordham,0,0,1,0.5750743434323602
abilene chr,fresno st,0,0,1,0.5810372419641384
abilene chr,furman,0,0,1,0.6467036526165172
abilene chr,g washington,0,0,1,0.6198608549004393
abilene chr,ga southern,0,0,1,0.575357197609567
abilene chr,gardner webb,0,0,1,0.7127136903291614
abilene chr,george mason,0,0,1,0.09640303793105089
abilene chr,georgetown,0,0,1,0.5632890503051934
abilene chr,georgia,0,0,1,0.5156418561925397
abilene chr,georgia st,0,0,1,0.6310796080020612
abilene chr,georgia tech,0,0,1,0.06538864815269224
abilene chr,gonzaga,0,0,1,0.47628860545194684
abilene chr,grambling,0,0,1,0.7183360061401743
abilene chr,grand canyon,0,0,1,0.16306523470060733
abilene chr,hampton,0,0,1,0.7565404267277407
abilene chr,harvard,0,0,1,0.0717756651351003
abilene chr,hawai'i,0,0,1,0.4226872244746477
abilene chr,high point,0,0,1,0.495802399486256
abilene chr,hofstra,0,0,1,0.6981956519989011
abilene chr,holy cross,0,0,1,0.47260492566449186
abilene chr,houston,0,0,1,0.6572103734620056
abilene chr,houston bap,0,0,1,0.8229929489761034
abilene chr,howard,0,0,1,0.5766943479929549
abilene chr,idaho,0,0,1,0.46072175238920154
abilene chr,idaho st,0,0,1,0.694256927142554
abilene chr,il chicago,0,0,1,0.5532511341247519
abilene chr,illinois,0,0,1,0.0623891029385028
abilene chr,illinois st,0,0,1,0.4388767097924856
abilene chr,incarnate word,0,0,1,0.6440489912468486
abilene chr,indiana,0,0,1,0.11511815884532264
abilene chr,indiana st,0,0,1,0.7253278572745112
abilene chr,iona,0,0,1,0.6710253871063057
abilene chr,iowa,0,0,1,0.06657511024553983
abilene chr,iowa st,0,0,1,0.12251765718498582
abilene chr,fort wayne,0,0,1,0.34890019980947296
abilene chr,indiana - purdue,0,0,1,0.7299068754590172
abilene chr,jackson st,0,0,1,0.7034046847878114
abilene chr,jacksonville,0,0,1,0.6581108953339926
abilene chr,jacksonville st,0,0,1,0.6186964617110657
abilene chr,james madison,0,0,1,0.36003388087075316
abilene chr,kansas,0,0,1,0.46369364200333285
abilene chr,kansas st,0,0,1,0.016416070734829216
abilene chr,kennesaw,0,0,1,0.6679524643385005
abilene chr,kent,0,0,1,0.4355500854817246
abilene chr,kentucky,0,0,1,0.023492922517711082
abilene chr,la salle,0,0,1,0.7464684304126769
abilene chr,lafayette,0,0,1,0.741742353212024
abilene chr,lamar,0,0,1,0.4343761379039281
abilene chr,lehigh,0,0,1,0.23947572378462928
abilene chr,liberty,0,0,1,0.2659871671371156
abilene chr,lipscomb,0,0,1,0.5391181874618716
